trial,graph_size_tasks,graph_size_edges,task_edge_ratio,upward_rank_makespan,sum_rank_makespan,performance_difference,performance_improvement_percent,better_algorithm
0,4,4,1.0,2.200862,2.200862,0.0,0.0,equal
1,8,10,0.8,4.926648,4.547737,-0.378911,7.69,sum_rank
2,4,4,1.0,2.911112,2.911112,0.0,0.0,equal
3,4,4,1.0,2.662068,2.662068,0.0,0.0,equal
4,5,6,0.833,3.558726,3.558726,0.0,0.0,equal
5,5,6,0.833,3.671544,3.671544,0.0,0.0,equal
6,4,4,1.0,4.709583,4.484672,-0.224911,4.78,sum_rank
7,14,21,0.667,6.105784,5.967145,-0.13864,2.27,sum_rank
8,8,10,0.8,5.08311,5.08311,0.0,0.0,equal
9,5,6,0.833,2.937348,2.937348,0.0,0.0,equal
10,8,10,0.8,6.057756,6.057756,0.0,0.0,equal
11,4,4,1.0,2.130534,2.130534,0.0,0.0,equal
12,4,4,1.0,5.0588,5.0588,0.0,0.0,equal
13,14,21,0.667,7.389111,7.25494,-0.134171,1.82,sum_rank
14,4,4,1.0,2.889056,2.889056,0.0,0.0,equal
15,8,10,0.8,6.244052,6.230082,-0.01397,0.22,sum_rank
16,8,10,0.8,5.197005,5.197005,0.0,0.0,equal
17,8,10,0.8,6.419749,7.203708,0.783958,-12.21,upward_rank
18,5,6,0.833,1.587104,1.587104,0.0,-0.0,upward_rank
19,14,21,0.667,8.000108,8.000108,0.0,0.0,equal
20,5,6,0.833,4.314071,4.314071,0.0,0.0,equal
21,8,10,0.8,2.984149,2.984149,0.0,-0.0,upward_rank
22,5,6,0.833,4.417233,4.417233,0.0,0.0,equal
23,8,10,0.8,4.417255,4.417255,0.0,0.0,equal
24,5,6,0.833,3.715103,3.715103,0.0,0.0,equal
