trial,alpha,hybrid_makespan,upward_makespan,improvement_percent,num_tasks,num_edges,task_edge_ratio
1,0.15,7.567134991875504,7.204403197677159,-5.034862489585485,14,21,0.6666666666666666
2,0.15,4.633172580403979,3.9990418057687473,-15.857067903628256,8,10,0.8
3,0.15,3.8460087374858425,3.8460087374858425,0.0,5,6,0.8333333333333334
4,0.15,4.899252325961526,4.899252325961526,0.0,5,6,0.8333333333333334
5,0.15,3.9862705469993935,3.9862705469993935,0.0,5,6,0.8333333333333334
6,0.15,11.057212260663269,10.397417216744719,-6.34575904923744,14,21,0.6666666666666666
7,0.15,5.961765591877582,5.543546034951944,-7.544260556127304,8,10,0.8
8,0.15,10.37524139921942,10.289448750931967,-0.8337924641461589,14,21,0.6666666666666666
9,0.15,5.465669631438038,4.763686949191621,-14.736121196325474,14,21,0.6666666666666666
10,0.15,3.5629171549304415,3.5629171549304415,0.0,5,6,0.8333333333333334
