alpha,avg_improvement_percent,better_trials,worse_trials,equal_trials,win_rate_percent
0.0,0.4647525275826526,4,9,17,13.333333333333334
0.1,-1.1391205816416092,6,11,13,20.0
0.2,-0.5203968164313383,3,7,20,10.0
0.3,-0.7414438800221299,5,9,16,16.666666666666664
0.4,0.3898246999389274,9,9,12,30.0
0.5,-0.4350758022165987,6,2,22,20.0
0.6,-3.3718688377958212,5,14,11,16.666666666666664
0.7,-3.823600698227376,2,13,15,6.666666666666667
0.8,-2.867543782624355,5,14,11,16.666666666666664
0.9,-1.741255417185389,7,8,15,23.333333333333332
1.0,-3.1634524960124497,2,9,19,6.666666666666667
