trial,random_makespan,upward_makespan,improvement_percent,num_tasks,num_edges
1,8.780066016797926,7.508328911129221,-16.937685079081625,14,21
2,7.398221668886465,7.428739737043453,0.41081084056303385,5,6
3,6.100124829066544,5.130503730208265,-18.899140315388088,14,21
4,5.94051186901386,5.248719231715344,-13.180218006677977,14,21
5,2.4003235893586092,2.4003235893586092,0.0,4,4
6,3.7943053837034593,3.7943053837034593,0.0,8,10
7,4.228062324025357,4.357540278145225,2.9713541552157494,8,10
8,8.827161668543742,7.6709436870114605,-15.07269546887698,14,21
9,2.1228953850162835,2.1228953850162835,0.0,5,6
10,6.133970972511509,5.868116749331245,-4.53048626223332,14,21
