trial,graph_size_tasks,graph_size_edges,task_edge_ratio,upward_rank_makespan,sum_rank_makespan,performance_difference,performance_improvement_percent,better_algorithm
0,14,21,0.667,5.051261,5.169775,0.118515,-2.35,upward_rank
1,4,4,1.0,2.563706,2.563706,0.0,0.0,equal
2,4,4,1.0,3.790692,3.955981,0.165288,-4.36,upward_rank
3,8,10,0.8,4.837527,5.259588,0.422061,-8.72,upward_rank
4,8,10,0.8,3.974398,4.521064,0.546666,-13.75,upward_rank
5,4,4,1.0,8.302329,8.112438,-0.18989,2.29,sum_rank
6,8,10,0.8,4.111351,4.43797,0.326618,-7.94,upward_rank
7,4,4,1.0,3.917465,3.917465,0.0,0.0,equal
8,4,4,1.0,3.069667,3.069667,0.0,0.0,equal
9,8,10,0.8,6.886336,6.886336,0.0,0.0,equal
10,4,4,1.0,2.929187,2.929187,0.0,-0.0,upward_rank
11,14,21,0.667,6.96287,7.398212,0.435342,-6.25,upward_rank
12,4,4,1.0,3.280726,3.280726,0.0,0.0,equal
13,8,10,0.8,5.084197,5.167356,0.08316,-1.64,upward_rank
14,4,4,1.0,2.764528,2.764528,0.0,0.0,equal
15,5,6,0.833,3.147791,3.147791,0.0,0.0,equal
16,5,6,0.833,5.161348,5.161348,0.0,0.0,equal
17,14,21,0.667,6.571403,6.855006,0.283603,-4.32,upward_rank
18,5,6,0.833,4.086203,4.086203,0.0,0.0,equal
19,14,21,0.667,9.231213,9.745806,0.514593,-5.57,upward_rank
20,14,21,0.667,6.192077,6.512726,0.320649,-5.18,upward_rank
21,5,6,0.833,2.589847,2.589847,0.0,0.0,equal
22,4,4,1.0,2.555125,2.555125,0.0,0.0,equal
23,14,21,0.667,9.39681,9.591574,0.194764,-2.07,upward_rank
24,5,6,0.833,3.184466,3.184466,0.0,0.0,equal
25,14,21,0.667,8.30677,9.546802,1.240032,-14.93,upward_rank
26,14,21,0.667,6.708036,7.870534,1.162498,-17.33,upward_rank
27,4,4,1.0,4.688125,4.688125,0.0,0.0,equal
28,4,4,1.0,2.337014,2.337014,0.0,0.0,equal
29,5,6,0.833,2.613948,2.963869,0.34992,-13.39,upward_rank
30,5,6,0.833,4.461655,4.461655,0.0,0.0,equal
31,5,6,0.833,3.607909,4.076157,0.468248,-12.98,upward_rank
32,8,10,0.8,4.051136,4.051136,0.0,0.0,equal
33,4,4,1.0,2.158029,2.158029,0.0,0.0,equal
34,5,6,0.833,3.614119,3.614119,0.0,0.0,equal
35,8,10,0.8,4.855691,4.855691,0.0,0.0,equal
36,8,10,0.8,4.232839,3.875861,-0.356979,8.43,sum_rank
37,14,21,0.667,6.53487,6.359138,-0.175731,2.69,sum_rank
38,8,10,0.8,3.768231,4.279061,0.510829,-13.56,upward_rank
39,5,6,0.833,3.064824,3.064824,0.0,0.0,equal
40,8,10,0.8,5.191578,5.191578,0.0,0.0,equal
41,4,4,1.0,2.632341,2.632341,0.0,0.0,equal
42,5,6,0.833,3.102806,3.102806,0.0,-0.0,upward_rank
43,4,4,1.0,5.629756,5.614865,-0.014891,0.26,sum_rank
44,8,10,0.8,4.931562,4.877776,-0.053786,1.09,sum_rank
45,14,21,0.667,6.968106,7.565308,0.597202,-8.57,upward_rank
46,14,21,0.667,9.247214,9.247214,0.0,0.0,equal
47,5,6,0.833,2.569695,2.569695,0.0,0.0,equal
48,14,21,0.667,7.030025,7.479762,0.449738,-6.4,upward_rank
49,14,21,0.667,9.402965,8.368573,-1.034391,11.0,sum_rank
